Ybrest,YLeHavre,ThetaS,PhiS,RS,ThetaL,PhiL,RL,cos(ThetaS),sin(ThetaS),cos(ThetaL),sin(ThetaL),delta,VRS,VRL 
46,46,280.3785787,0.0002266,0.983327627,223.3308249,5.1711723,0.002689989,0.180151403,-0.983638893,-0.727403685,-0.686209792,0.543939847,-0.0127281,0.0321666 
50,50,281.3980136,0.0002166,0.983322454,235.2887903,4.8830034,0.002705156,0.197623355,-0.980278027,-0.569440362,-0.822032648,0.693285827,-0.0052318,0.0204715 
57,57,282.417517,0.0001992,0.983321531,247.1549577,4.3867806,0.002713817,0.215033914,-0.976606582,-0.388240177,-0.921558227,0.816515025,0.001994,0.0097162 
63,63,283.4370675,0.0001751,0.983324715,258.9782354,3.7042166,0.002716622,0.232377192,-0.972625745,-0.191181866,-0.981554631,0.910258999,0.0089993,0.0002183 
69,69,284.4566426,0.0001454,0.983331894,270.7999043,2.8622156,0.00271432,0.249647307,-0.968336833,0.01396051,-0.999902547,0.97172767,0.0158379,-0.0079852 
74,74,285.4762188,0.0001113,0.983342989,282.6552382,1.8931632,0.002707612,0.266838388,-0.96374129,0.21908401,-0.975705999,0.998788183,0.0225682,-0.0150866 
77,77,286.4957721,0.0000744,0.983357954,294.5758867,0.8348002,0.00269704,0.283944592,-0.95884069,0.415898097,-0.909411223,0.9900725,0.0292533,-0.0214275 
79,79,287.5152779,0.0000361,0.983376783,306.5926245,-0.270408,0.002682931,0.300960097,-0.953636734,0.596121526,-0.802894219,0.945078213,0.0359613,-0.0273994 
78,79,288.5347116,-0.0000017,0.983399511,318.7380025,-1.3763091,0.002665396,0.317879123,-0.948131248,0.751701727,-0.659503233,0.864245909,0.0427636,-0.0333318 
76,77,289.5540488,-0.0000373,0.983426212,331.048391,-2.434292,0.002644403,0.334695932,-0.942326182,0.875028857,-0.484070759,0.749021149,0.0497337,-0.0393838 
72,74,290.5732662,-0.0000691,0.983457005,343.5648847,-3.3944858,0.002619895,0.351404851,-0.936223601,0.959140754,-0.282929346,0.601931845,0.0569463,-0.0454557 
66,69,291.5923414,-0.0000953,0.983492051,356.3325432,-4.2068566,0.002591966,0.368000268,-0.929825684,0.997952111,-0.063965496,0.426723405,0.0644758,-0.0511356 
60,63,292.6112541,-0.0001146,0.983531555,9.3974895,-4.8223946,0.002561038,0.384476653,-0.923134716,0.986579317,0.163282734,0.228584754,0.0723944,-0.055695 
54,56,293.629986,-0.0001258,0.983575762,22.8015165,-5.1949019,0.002528032,0.40082856,-0.91615308,0.921852895,0.387539986,0.014459017,0.0807695,-0.0581476 
51,52,294.6485222,-0.0001278,0.983624951,36.5741955,-5.2841302,0.002494484,0.41705065,-0.908883246,0.803085918,0.595863247,-0.206642619,0.0896575,-0.0573847 
53,52,295.6668518,-0.0001205,0.983679431,50.723171,-5.0609566,0.002462557,0.433137698,-0.901327762,0.633067872,0.774096292,-0.423508918,0.0990943,-0.0523924 
58,58,296.6849684,-0.0001039,0.983739521,65.224415,-4.5146478,0.002434902,0.449084606,-0.893489237,0.41906522,0.907956134,-0.623053294,0.1090824,-0.042536 
68,68,297.7028713,-0.0000789,0.983805529,80.0154122,-3.6608705,0.002414354,0.464886415,-0.88537033,0.173383264,0.984854428,-0.791357365,0.1195762,-0.0278571 
81,81,298.720565,-0.0000469,0.983877721,94.9947796,-2.5473524,0.002403479,0.480538298,-0.876973742,-0.087064976,0.996202635,-0.915481608,0.1304731,-0.0092766 
92,92,299.7380586,-0.0000101,0.983956286,110.0307323,-1.2532521,0.00240405,0.496035546,-0.868302215,-0.342524126,0.939509033,-0.985681917,0.1416158,0.0114202 
101,101,300.7553646,0.0000292,0.984041311,124.9778576,0.1200911,0.002416625,0.51137355,-0.859358535,-0.573259826,0.819373646,-0.997285649,0.152811,0.0318811 
105,105,301.7724959,0.0000682,0.984132769,139.6981147,1.465268,0.002440362,0.526547755,-0.850145553,-0.762647047,0.646814875,-0.95145688,0.1638601,0.049695 
104,105,302.7894641,0.0001044,0.984230523,154.0800522,2.6860867,0.002473137,0.541553633,-0.840666202,-0.89940565,0.437114947,-0.854544159,0.1745905,0.062918 
98,101,303.8062776,0.0001358,0.984334352,168.0512141,3.709817,0.002511927,0.556386659,-0.830923514,-0.978333053,0.207037286,-0.716363608,0.1848767,0.0704165 
88,93,304.8229402,0.0001607,0.984443974,181.5818261,4.4913878,0.002553315,0.571042295,-0.82092064,-0.999618921,-0.027604567,-0.548163525,0.1946449,0.0719447 
